date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:43	38701/38701	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:18:18%20GMT	http://giftcardrebel.com/free-itunes-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-itunes-gift-cards.html	(from http://giftcardrebel.com/)
21:42:43	40871/40871	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:18:28%20GMT	http://giftcardrebel.com/free-skype-credit-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-skype-credit-gift-cards.html	(from http://giftcardrebel.com/)
21:42:44	39984/39984	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:18:40%20GMT	http://giftcardrebel.com/free-windows-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-windows-gift-cards.html	(from http://giftcardrebel.com/)
21:42:44	40859/40859	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:19:02%20GMT	http://giftcardrebel.com/free-paypal-cash-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-paypal-cash-gift-cards.html	(from http://giftcardrebel.com/)
21:42:44	41603/41603	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:18:52%20GMT	http://giftcardrebel.com/free-ebay-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-ebay-gift-cards.html	(from http://giftcardrebel.com/)
21:42:44	52394/52394	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:19:14%20GMT	http://giftcardrebel.com/free-amazon-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-amazon-gift-cards.html	(from http://giftcardrebel.com/)
21:42:46	38622/38622	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:19:24%20GMT	http://giftcardrebel.com/free-facebook-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-facebook-gift-cards.html	(from http://giftcardrebel.com/)
21:42:47	38551/38551	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:19:38%20GMT	http://giftcardrebel.com/free-netflix-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-netflix-gift-cards.html	(from http://giftcardrebel.com/)
21:42:47	41819/41819	U-----	200	untouched ('OK')	text/html	date:Wed,%2029%20Jun%202016%2014:19:48%20GMT	http://giftcardrebel.com/free-spotify-gift-cards.html	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/free-spotify-gift-cards.html	(from http://giftcardrebel.com/)
21:42:47	39168/39168	U-----	200	untouched ('')	application/javascript	date:Mon,%2027%20Jun%202016%2009:00:18%20GMT	http://giftcardrebel.com/resources/plugins.js?v=3	C:/MyWebsite/giftcardrebel.com/giftcardrebel.com/resources/plugins30f4.js	(from http://giftcardrebel.com/)
21:42:49	95786/95786	U-----	200	untouched ('')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/MyWebsite/giftcardrebel.com/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from http://giftcardrebel.com/)
21:42:49	27580/27580	U-----	200	untouched ('')	text/javascript	date:Wed,%2001%20Jun%202016%2014:34:39%20GMT	https://www.google-analytics.com/analytics.js	C:/MyWebsite/giftcardrebel.com/www.google-analytics.com/analytics.js	(from http://giftcardrebel.com/)
